rows,blocks,plaintext_block_bytes,samples,setup_ms,manifest_open_ms,prove_median_ms,prove_min_ms,prove_max_ms,verify_median_ms,verify_min_ms,verify_max_ms,response_bytes_mean,full_response_bytes,byte_ratio,multiproof_nodes_mean
8,128,256,16,4.5515,0.0406,0.1264,0.1196,0.1606,0.7749,0.7275,1.0427,61691.56,303296,0.203404,307.89
8,128,256,64,4.5515,0.0406,0.2003,0.1879,0.4284,1.6187,1.531,1.8718,174723.56,303296,0.576083,368.89
8,128,256,128,4.5515,0.0406,0.1457,0.1387,0.3646,2.0682,1.9941,2.335,307424,303296,1.01361,0
32,128,256,16,16.9976,0.0727,0.5449,0.4834,0.6498,3.0366,2.9644,3.7949,234097.78,1200800,0.194952,1224.44
32,128,256,64,16.9976,0.0727,0.9074,0.8047,1.336,6.7819,6.4106,7.021,686350.22,1200800,0.571577,1471.56
32,128,256,128,16.9976,0.0727,0.6026,0.5887,0.7115,8.7436,8.5727,9.4985,1217312,1200800,1.013751,0
32,1024,256,16,138.7513,0.0765,1.4797,1.2477,2.4275,6.0715,5.6364,6.7274,291533.33,9343648,0.031201,2660.33
32,1024,256,64,138.7513,0.0765,3.6473,3.2171,3.9601,16.1913,15.6027,16.9587,895710.22,9343648,0.095863,6705.56
32,1024,256,128,138.7513,0.0765,5.539,5.1465,7.924,25.83,24.7224,26.8515,1604680.89,9343648,0.17174,9684.22
64,1024,256,16,295.2469,0.1381,3.0265,2.8835,6.1196,12.3938,11.8733,12.6048,579574.22,18683168,0.031021,5336.56
64,1024,256,64,295.2469,0.1381,7.3932,7.0021,10.8325,31.9329,31.3173,32.9592,1787208,18683168,0.095659,13409
64,1024,256,128,295.2469,0.1381,10.884,10.5389,11.3562,50.3517,49.4998,50.7642,3205158.22,18683168,0.171553,19366.56
