rmax,method,q,matching_files,setup_ms,median_ms,min_ms,max_ms,metadata_accesses,total_accesses,download_mean,upload_mean,proof_download_mean,position_map_packed_bytes,root_and_key_bytes,peak_stash_payload_bytes,server_ciphertext_bytes,server_hash_bytes,oram_height,oram_capacity
64,rank_serial,16,32,18.532699999923352,78.03520000015851,75.28289999754634,80.40629999959492,113,145,1167911.2,913500,255571.2,8192,64,2312,1170884,131040,10,2048
64,rank_serial,64,32,18.532699999923352,302.2733999969205,299.8770999984117,307.72809999689343,449,577,4645530.4,3635100,1015046.4,8192,64,2448,1170884,131040,10,2048
64,rank_serial,256,32,18.532699999923352,1208.1971000006888,1203.240700000606,1217.5822999997763,1793,2305,18559725.6,14521500,4056665.6,8192,64,2720,1170884,131040,10,2048
64,rank_batch,16,32,14.615999996749451,50.692000000708504,49.88070000035805,51.76740000024438,64,96,772992,604800,168960,8192,64,2584,1170884,131040,10,2048
64,rank_batch,64,32,14.615999996749451,133.61910000094213,132.03340000109165,135.75409999975818,128,256,2061120,1612800,450368,8192,64,2584,1170884,131040,10,2048
64,rank_batch,256,32,14.615999996749451,334.5042000000831,331.5459999976156,340.44880000146804,128,640,5153664,4032000,1126784,8192,64,2856,1170884,131040,10,2048
64,dense,16,32,14.462700000876794,25.24279999852297,25.01010000196402,26.04369999971823,17,49,394720.8,308700,86412.8,8192,64,2448,1170884,131040,10,2048
64,dense,64,32,14.462700000876794,100.656099999469,99.44650000034017,102.11450000133482,65,193,1553991.2,1215900,339635.2,8192,64,2584,1170884,131040,10,2048
64,dense,256,32,14.462700000876794,300.01330000231974,296.51469999953406,304.34299999978975,65,577,4645805.6,3635100,1015321.6,8192,64,2584,1170884,131040,10,2048
256,rank_serial,16,128,63.49740000223392,126.31340000007185,125.84480000077747,128.26289999793516,145,177,1758053.6,1317588,441881.6,32768,64,2856,4685252,524256,12,8192
256,rank_serial,64,128,63.49740000223392,505.0283999989915,501.35560000126134,509.72769999862066,577,705,7002789.6,5248020,1760409.6,32768,64,3264,4685252,524256,12,8192
256,rank_serial,256,128,63.49740000223392,2029.9761000023864,2019.4144000015513,2033.899099998962,2305,2817,27978648.8,20969748,7031436.8,32768,64,3264,4685252,524256,12,8192
256,rank_batch,16,128,63.031099998624995,91.08669999841368,90.85860000050161,92.56549999918207,96,128,1271257.6,952832,319449.6,32768,64,3264,4685252,524256,12,8192
256,rank_batch,64,128,63.031099998624995,275.23399999699905,272.8857000001881,278.16660000098636,256,384,3814022.4,2858496,958598.4,32768,64,3128,4685252,524256,12,8192
256,rank_batch,256,128,63.031099998624995,737.6965000003111,735.4774999985239,741.7022999979963,512,1024,10169843.2,7622656,2555379.2,32768,64,3400,4685252,524256,12,8192
256,dense,16,128,62.30200000209152,35.250499997346196,34.68240000074729,35.96599999946193,17,49,486476,364756,122112,32768,64,2584,4685252,524256,12,8192
256,dense,64,128,62.30200000209152,140.33669999844278,138.86320000165142,145.42439999786438,65,193,1917042.4,1436692,481894.4,32768,64,3264,4685252,524256,12,8192
256,dense,256,128,62.30200000209152,552.8202000023157,546.8873999998323,556.624600001669,257,769,7637727.2,5724436,1919443.2,32768,64,3672,4685252,524256,12,8192
