rmax,method,action,elapsed_ms,accesses,download_bytes,upload_bytes
64,rank_serial,remove,23.27030000014929,44,354480,277200
64,rank_serial,insert,12.294599997403566,23,185324,144900
64,rank_serial,modify,3.741600001376355,6,48440,37800
64,rank_batch,remove,23.094899999705376,44,354384,277200
64,rank_batch,insert,12.01240000227699,23,185228,144900
64,rank_batch,modify,3.218199999537319,6,48120,37800
64,dense,remove,4.438700001628604,8,64480,50400
64,dense,insert,3.344299999298528,5,40388,31500
64,dense,modify,3.251599999202881,6,48248,37800
256,rank_serial,remove,41.71420000056969,56,556160,416864
256,rank_serial,insert,20.93059999970137,29,288252,215876
256,rank_serial,modify,4.1286000014224555,6,59528,44664
256,rank_batch,remove,39.44690000207629,56,555680,416864
256,rank_batch,insert,21.086999997351086,29,288124,215876
256,rank_batch,modify,3.9903999968373682,6,59656,44664
256,dense,remove,6.099199999880511,8,79392,59552
256,dense,insert,3.2609999980195425,5,49596,37220
256,dense,modify,4.269500001100823,6,59528,44664
