n,density,r,q,mode,rep,search_ms,challenge_ms,server_ms,verify_ms,total_ms,payload_bytes,aggregate_bytes
1024,0.1,13,64,cold_composition,1,0.023,0.4213,0.5842,0.2008,1.2293000000000003,8136,640
1024,0.1,13,64,cold_composition,2,0.0186,0.3772,0.5732,0.304,1.2730000000000001,8136,640
1024,0.1,13,64,cold_composition,3,0.0224,0.4124,0.5889,0.1984,1.2220999999999997,8136,640
1024,0.1,13,64,cold_composition,4,0.0181,0.3845,0.5918,0.1957,1.1901,8136,640
1024,0.1,13,64,cold_composition,5,0.0175,0.3884,0.8083,0.4184,1.6326,8136,640
1024,0.1,13,64,cached_composition,1,0.0045,0.4011,0.6071,0.203,1.2157,7752,640
1024,0.1,13,64,cached_composition,2,0.003,0.3902,0.6004,0.2047,1.1983000000000001,7752,640
1024,0.1,13,64,cached_composition,3,0.0026,0.3833,0.6024,0.2312,1.2195,7752,640
1024,0.1,13,64,cached_composition,4,0.0032,0.407,0.6027,0.2031,1.216,7752,640
1024,0.1,13,64,cached_composition,5,0.0028,0.4277,0.6025,0.2098,1.2428000000000001,7752,640
1024,0.1,13,256,cold_composition,1,0.024,0.9248,2.3393,0.7652,4.0533,17352,640
1024,0.1,13,256,cold_composition,2,0.0439,0.824,2.2635,1.0617,4.1931,17352,640
1024,0.1,13,256,cold_composition,3,0.0248,1.0724,2.2892,0.8141,4.2005,17352,640
1024,0.1,13,256,cold_composition,4,0.0221,0.838,2.564,0.824,4.2481,17352,640
1024,0.1,13,256,cold_composition,5,0.0207,0.924,2.4382,0.7631,4.146,17352,640
1024,0.1,13,256,cached_composition,1,0.0035,0.8192,2.819,0.8082,4.4499,16968,640
1024,0.1,13,256,cached_composition,2,0.0059,0.8771,2.3987,0.7524,4.0341,16968,640
1024,0.1,13,256,cached_composition,3,0.0039,0.794,2.2861,0.7621,3.8461,16968,640
1024,0.1,13,256,cached_composition,4,0.0029,1.0221,2.6455,0.7631,4.4336,16968,640
1024,0.1,13,256,cached_composition,5,0.0047,0.8226,2.3066,0.758,3.8919,16968,640
1024,0.5,250,64,cold_composition,1,0.0208,0.9678,0.893,0.2691,2.1507,16536,640
1024,0.5,250,64,cold_composition,2,0.0246,1.2218,0.6499,0.2321,2.1284,15608,640
1024,0.5,250,64,cold_composition,3,0.0242,0.8602,0.645,0.2056,1.7349999999999999,15504,640
1024,0.5,250,64,cold_composition,4,0.0233,0.9389,0.6068,0.2144,1.7833999999999999,15864,640
