n,density,r,q,mode,search_ms_median,challenge_ms_median,server_ms_median,verify_ms_median,total_ms_median,payload_bytes_median,total_ms_min,total_ms_max
1024,0.1,13,64,cached_composition,0.003,0.4011,0.6025,0.2047,1.216,7752,1.1983000000000001,1.2428000000000001
1024,0.1,13,64,cold_composition,0.0186,0.3884,0.5889,0.2008,1.2293000000000003,8136,1.1901,1.6326
1024,0.1,13,256,cached_composition,0.0039,0.8226,2.3987,0.7621,4.0341,16968,3.8461,4.4499
1024,0.1,13,256,cold_composition,0.024,0.924,2.3393,0.8141,4.1931,17352,4.0533,4.2481
1024,0.5,250,64,cached_composition,0.0039,0.9419,0.6626,0.2172,1.8212000000000002,15264,1.7871000000000001,1.9814999999999998
1024,0.5,250,64,cold_composition,0.0233,0.9389,0.645,0.2144,1.7833999999999999,15864,1.7022,2.1507
1024,0.5,250,256,cached_composition,0.0047,2.0141,2.4435,0.8101,5.2661999999999995,36384,5.129899999999999,5.7751
1024,0.5,250,256,cold_composition,0.0251,2.0481,2.5431,0.8011,5.4807999999999995,36848,5.2508,5.9892
4096,0.1,28,64,cached_composition,0.0036,0.7042,0.6875,0.2147,1.6844000000000001,12040,1.4417999999999997,1.7844000000000002
4096,0.1,28,64,cold_composition,0.0564,0.7125,0.6313,0.2074,1.6528,13840,1.5506,1.7343
4096,0.1,28,256,cached_composition,0.0048,1.291,2.4736,0.7871,4.5378,22088,4.2625,5.0413
4096,0.1,28,256,cold_composition,0.0615,1.2571,2.3776,0.8173,4.7049,23624,4.2814,4.7824
4096,0.5,1003,64,cached_composition,0.0035,1.3365,0.6164,0.2052,2.1662000000000003,20648,2.1064,2.3793
4096,0.5,1003,64,cold_composition,0.0596,1.356,0.6656,0.2097,2.2893999999999997,22304,2.2286,2.8031
4096,0.5,1003,256,cached_composition,0.0047,3.4898,2.5552,0.7831,6.8734,58456,6.7938,7.444100000000001
4096,0.5,1003,256,cold_composition,0.0591,3.7212,2.5065,0.7965,7.1384,59728,6.615399999999999,7.5356
16384,0.1,170,64,cached_composition,0.0043,1.5454,0.655,0.2109,2.4245,23664,2.2832999999999997,2.5909
16384,0.1,170,64,cold_composition,0.1952,1.483,0.627,0.208,2.6197,29432,2.4101999999999997,2.8784
16384,0.1,170,256,cached_composition,0.0055,3.4943,2.5346,0.8217,6.886,54016,6.2324,7.6079
16384,0.1,170,256,cold_composition,0.205,3.4295,2.5039,0.7793,7.0727,60448,6.746099999999999,7.2868
16384,0.5,4151,64,cached_composition,0.0052,2.1744,0.6428,0.2059,3.0537000000000005,25792,2.9113,3.2289
16384,0.5,4151,64,cold_composition,0.1998,2.2159,0.6926,0.2114,3.4511,32216,3.2113,3.7227
16384,0.5,4151,256,cached_composition,0.0049,6.0088,2.5903,0.8739,9.704,80568,9.1226,9.8923
16384,0.5,4151,256,cold_composition,0.2008,5.9217,2.5772,0.7786,9.4679,86952,9.2995,10.035800000000002
