n,density,kind,rep,owner_ms,cache_ms,retags,delta_bytes
1024,0.1,keyword,0,0.0499,0.015,0,80
1024,0.1,content,0,0.0486,0.0031,1,0
1024,0.1,keyword,1,0.0444,0.0096,0,80
1024,0.1,content,1,0.0314,0.0023,1,0
1024,0.1,keyword,2,0.0418,0.0075,0,80
1024,0.1,content,2,0.0289,0.0022,1,0
1024,0.1,keyword,3,0.0405,0.0074,0,80
1024,0.1,content,3,0.0271,0.0021,1,0
1024,0.1,keyword,4,0.0399,0.0061,0,80
1024,0.1,content,4,0.027,0.0022,1,0
1024,0.1,keyword,5,0.0401,0.0065,0,80
1024,0.1,content,5,0.0266,0.002,1,0
1024,0.1,keyword,6,0.0397,0.0062,0,80
1024,0.1,content,6,0.0256,0.0022,1,0
1024,0.1,keyword,7,0.0396,0.0064,0,80
1024,0.1,content,7,0.0255,0.0026,1,0
1024,0.1,keyword,8,0.0399,0.0062,0,80
1024,0.1,content,8,0.0253,0.0027,1,0
1024,0.1,keyword,9,0.0398,0.0063,0,80
1024,0.1,content,9,0.0256,0.0025,1,0
1024,0.5,keyword,0,0.0537,0.0115,0,80
1024,0.5,content,0,0.0496,0.0031,1,0
1024,0.5,keyword,1,0.0472,0.008,0,80
1024,0.5,content,1,0.0303,0.0024,1,0
1024,0.5,keyword,2,0.0458,0.0075,0,80
1024,0.5,content,2,0.0287,0.0022,1,0
1024,0.5,keyword,3,0.0447,0.0075,0,80
1024,0.5,content,3,0.0278,0.0023,1,0
1024,0.5,keyword,4,0.0447,0.0068,0,80
1024,0.5,content,4,0.0265,0.002,1,0
1024,0.5,keyword,5,0.045,0.0067,0,80
1024,0.5,content,5,0.0276,0.0022,1,0
1024,0.5,keyword,6,0.044,0.0064,0,80
1024,0.5,content,6,0.0306,0.0024,1,0
1024,0.5,keyword,7,0.0433,0.0066,0,80
1024,0.5,content,7,0.0264,0.0021,1,0
1024,0.5,keyword,8,0.0447,0.0065,0,80
1024,0.5,content,8,0.0261,0.0021,1,0
1024,0.5,keyword,9,0.0448,0.0062,0,80
1024,0.5,content,9,0.0263,0.0024,1,0
4096,0.1,keyword,0,0.0524,0.0133,0,80
4096,0.1,content,0,0.0525,0.0031,1,0
4096,0.1,keyword,1,0.0444,0.0092,0,80
4096,0.1,content,1,0.0314,0.0023,1,0
4096,0.1,keyword,2,0.0432,0.0084,0,80
4096,0.1,content,2,0.0299,0.0021,1,0
4096,0.1,keyword,3,0.0429,0.0082,0,80
4096,0.1,content,3,0.0297,0.002,1,0
4096,0.1,keyword,4,0.0416,0.0083,0,80
4096,0.1,content,4,0.0295,0.0021,1,0
4096,0.1,keyword,5,0.0415,0.0087,0,80
4096,0.1,content,5,0.0291,0.0024,1,0
4096,0.1,keyword,6,0.042,0.0082,0,80
4096,0.1,content,6,0.0286,0.0024,1,0
4096,0.1,keyword,7,0.0426,0.0087,0,80
4096,0.1,content,7,0.0283,0.0025,1,0
4096,0.1,keyword,8,0.042,0.0086,0,80
4096,0.1,content,8,0.0277,0.0024,1,0
4096,0.1,keyword,9,0.0411,0.0082,0,80
4096,0.1,content,9,0.0287,0.0025,1,0
4096,0.5,keyword,0,0.0585,0.0138,0,80
4096,0.5,content,0,0.0528,0.0034,1,0
4096,0.5,keyword,1,0.0511,0.0097,0,80
4096,0.5,content,1,0.0316,0.0026,1,0
4096,0.5,keyword,2,0.0504,0.0092,0,80
4096,0.5,content,2,0.0311,0.0025,1,0
4096,0.5,keyword,3,0.0485,0.0086,0,80
4096,0.5,content,3,0.0291,0.0025,1,0
4096,0.5,keyword,4,0.046,0.0085,0,80
4096,0.5,content,4,0.0311,0.002,1,0
4096,0.5,keyword,5,0.0471,0.0091,0,80
4096,0.5,content,5,0.0308,0.0022,1,0
4096,0.5,keyword,6,0.0483,0.0092,0,80
4096,0.5,content,6,0.0293,0.0022,1,0
4096,0.5,keyword,7,0.0492,0.009,0,80
4096,0.5,content,7,0.0302,0.0025,1,0
4096,0.5,keyword,8,0.051,0.0089,0,80
4096,0.5,content,8,0.0305,0.0027,1,0
4096,0.5,keyword,9,0.0499,0.009,0,80
4096,0.5,content,9,0.0298,0.0022,1,0
16384,0.1,keyword,0,0.052,0.0167,0,80
16384,0.1,content,0,0.0557,0.0032,1,0
16384,0.1,keyword,1,0.048,0.0128,0,80
16384,0.1,content,1,0.0333,0.0024,1,0
16384,0.1,keyword,2,0.0442,0.0111,0,80
16384,0.1,content,2,0.0324,0.0027,1,0
16384,0.1,keyword,3,0.0442,0.0106,0,80
16384,0.1,content,3,0.0333,0.0023,1,0
16384,0.1,keyword,4,0.0437,0.0113,0,80
16384,0.1,content,4,0.0327,0.002,1,0
16384,0.1,keyword,5,0.0442,0.0106,0,80
16384,0.1,content,5,0.0312,0.0026,1,0
16384,0.1,keyword,6,0.0438,0.0103,0,80
16384,0.1,content,6,0.0313,0.002,1,0
16384,0.1,keyword,7,0.0437,0.0105,0,80
